,original_index,ground_truth,synthesized,result
2503,2503,_tokenIdCounter.current()<MAX_TOKENS,_tokenIdCounter.current()<MAX_TOKENS,Exact Match
2504,2504,balanceOf(msg.sender)<MAX_PER_WALLET,_whitelist[msg.sender],The predicates are not equivalent and neither is stronger.
2505,2505,collateralPool.isGreaterThan(amount),amount.isLess(collateralPool),The predicates are not equivalent and neither is stronger.
2506,2506,"isUserProtection(msg.sender,tokenId)","isUserProtection(ownerOf(tokenId),tokenId)",The predicates are not equivalent and neither is stronger.
2507,2507,signersRep.containsSigners(_signers),signersRep.checkSigners(_signers),The predicates are not equivalent and neither is stronger.
2508,2508,status()==CrowdsaleStatus.SUCCESSFUL,status()==CrowdsaleStatus.Successful,The predicates are not equivalent and neither is stronger.
2509,2509,this.getWithdrawableAmount()>=amount,amount<=getWithdrawableAmount(),The predicates are not equivalent and neither is stronger.
2510,2510,"token.approve(factoryAddress,amount)","token.approve(factoryAddress,amount)",Exact Match
2511,2511,totalMints.add(quantity)<=approvedQt,totalMints.add(quantity)<=maxMintWL,The predicates are not equivalent and neither is stronger.
2512,2512,uint64(block.timestamp)>=releaseTime,block.timestamp>=releaseTime,The predicates are not equivalent and neither is stronger.
2513,2513,"updateAccount(msg.sender,true,false)",amountToStake<=maxDepositedTokens[msg.sender],The predicates are not equivalent and neither is stronger.
2514,2514,WukongNFT.ownerOf(tokenId)==_sender,ownerOf(tokenId)==_sender,The predicates are not equivalent and neither is stronger.
2515,2515,_publicBLOOD.current()<BLOOD_PUBLIC,numberOfTokens<=20,The predicates are not equivalent and neither is stronger.
2516,2516,"_token.transfer(_p3,eleven_percent)","_token.transfer(_p3,ten_percent)",The predicates are not equivalent and neither is stronger.
2517,2517,_totalCount.add(_count)<=MAX_SUPPLY,_totalCount+_count<=MAX_SUPPLY,The predicates are equivalent.
2518,2518,allowed[_from][msg.sender]>=_tokens,allowed[_from][msg.sender]>=_tokens,Exact Match
2519,2519,"betherToken.transfer(target,amount)","betherToken.transfer(target,amount)",Exact Match
2520,2520,collection.ownerOf(_tokenId)==_from,collection.ownerOf(_tokenId)==_from,Exact Match
2521,2521,"hasRole(REBALANCER_ROLE,msg.sender)","hasRole(REBALANCER_ROLE,msg.sender)",Exact Match
2522,2522,"hasRole(TRADEADMIN_ROLE,msg.sender)","hasRole(TRADEADMIN_ROLE,msg.sender)",Exact Match
2523,2523,"hx.transfer(customer,customerShare)",splitter.send(splitShare),The predicates are not equivalent and neither is stronger.
2524,2524,"isAllowedAddress(msg.sender,_proof)","isAllowedAddress(msg.sender,_proof)",Exact Match
2525,2525,isBull||_token==bearToken,isBull||_token==bearToken,Exact Match
2526,2526,mintPass.getPassMaxTokens(passId)>0,passId>0,The predicates are not equivalent and neither is stronger.
2527,2527,momoToken.ownerOf(_tokenId)==player,"momoToken.balanceOf(player,_tokenId)==1",The predicates are not equivalent and neither is stronger.
2528,2528,msg.sender==address(nianLunService),msg.sender==address(nianLunService),Exact Match
2529,2529,msg.sender==address(privatePresale),msg.sender==address(privatePresale),Exact Match
2530,2530,msg.sender==getPair[token0][token1],getPair[token0][token1]!=address(0),The predicates are not equivalent and neither is stronger.
2531,2531,msg.value>=numberTokensToMint*publicSalePrice,msg.value>=publicSalePrice*numberTokensToMint,The predicates are equivalent.
2532,2532,now.sub(lastWorkTime)>=minWorkDelay,now>=lastWorkTime+minWorkDelay,The predicates are equivalent.
2533,2533,potionContract.levelOf(potionId)>=3,potionContract.levelOf(potionId)>=3,Exact Match
2534,2534,presaleContract.balanceOf(sender)>0,presaleContract.balanceOf(sender)>0,Exact Match
2535,2535,principalPaid&&rewardPaid,principalPaid&&rewardPaid,Exact Match
2536,2536,"protocolToken.transfer(_to,_amount)","protocolToken.transfer(_to,_amount)",Exact Match
2537,2537,success&&tokensReturned>0,success&&tokensReturned>0,Exact Match
2538,2538,uint(order_.startTime)<=currentTime,order_.startTime<=currentTime,The predicates are not equivalent and neither is stronger.
2539,2539,validExistingContent(ids.contentId),ids.contentId>0,The predicates are not equivalent and neither is stronger.
2540,2540,isCollectionSupported[nftAddress]!=supported,nftAddress!=address(0),The predicates are not equivalent and neither is stronger.
2541,2541,msg.value==_MINT_WITH_CLOTHES_PRICE*quantity,publicSale,The predicates are not equivalent and neither is stronger.
2542,2542,ownership[tokenIds[i]]==msg.sender,ownership[tokenIds[i]]==msg.sender,Exact Match
2543,2543,pollMap[_pollID].didReveal[_voter],"isRegisteredVoter(_voter,_pollID)",The predicates are not equivalent and neither is stronger.
2544,2544,requestApprovees[from][msg.sender],requestApprovees[address(_nft)][msg.sender],The predicates are equivalent.
2545,2545,_balance.mod(minInvestParticle)==0,_balance%minInvestParticle==0,The predicates are equivalent.
2546,2546,balanceOf(msg.sender)>=tokenamount,_balances[msg.sender]>=tokenamount,The predicates are not equivalent and neither is stronger.
2547,2547,clubToken.balanceOf(this)>=_amount,_amount>0,The predicates are not equivalent and neither is stronger.
2548,2548,"hasRole(MANAGE_LP_ROLE,msg.sender)","hasRole(MANAGE_LP_ROLE,msg.sender)",Exact Match
2549,2549,"hasRole(WAITSTAFF_ROLE,msg.sender)","hasRole(WAITSTAFF_ROLE,msg.sender)",Exact Match
2550,2550,"instance.transfer(toAddress,value)","instance.transfer(toAddress,value)",Exact Match
2551,2551,"isAllowlisted(proof,msg.sender,id)",!claimed[msg.sender],The predicates are not equivalent and neither is stronger.
2552,2552,"isOGWhitelisted(msg.sender,_proof)",totalSupply()+mintAmount<=MaxToken,The predicates are not equivalent and neither is stronger.
2553,2553,"isPartner(msg.sender,target)==true",target!=address(0),The predicates are not equivalent and neither is stronger.
2554,2554,msg.sender==address(routerAddress),unlocked==1,The predicates are not equivalent and neither is stronger.
2555,2555,msg.sender==ownerOf(largerTokenId),ownerOf(largerTokenId)==msg.sender,The predicates are not equivalent and neither is stronger.
2556,2556,redisFeeOnBuy.add(taxFeeOnBuy)<=10,redisFeeOnBuy.add(taxFeeOnBuy)<=10,Exact Match
2557,2557,"token.transfer(_recipient,balance)","token.transfer(_recipient,balance)",Exact Match
2558,2558,"token.transferFrom(from,to,amount)","token.transferFrom(from,to,amount)",Exact Match
2559,2559,"tokensLocked(msg.sender,_reason)>0","tokensLocked(msg.sender,_reason)>0",Exact Match
2560,2560,totalSupply.sub(starCount)>=amount,amount<=100,The predicates are not equivalent and neither is stronger.
2561,2561,uint256(_deadline)>block.timestamp,block.timestamp<=_deadline,The predicates are not equivalent and neither is stronger.
2562,2562,weiRaised.add(_weiAmount)<=hardcap,weiRaised.add(_weiAmount)<=hardcap,Exact Match
2563,2563,xrmToken.balanceOf(_user)>=_amount,_amount>0,The predicates are not equivalent and neither is stronger.
2564,2564,"Controller.equals(data,magicData)",magicData==data,The predicates are not equivalent and neither is stronger.
2565,2565,"_approvedFor(msg.sender,_tokenId)","_approvedFor(_from,_tokenId)",The predicates are not equivalent and neither is stronger.
2566,2566,_nft.ownerOf(_tokenId)==_oldOwner,_nft.ownerOf(_tokenId)==_oldOwner,Exact Match
2567,2567,_presold+number_of_items<=_payload.max_mint,_presold+_numberOfCards<=_payload.max_mint,The predicates are not equivalent and neither is stronger.
2568,2568,_projectContract.isFundingState(),_projectContract.isWorkflowState(),The predicates are not equivalent and neither is stronger.
2569,2569,_stake.lockedTill<safe32TimeNow(),block.timestamp>=_stake.lockedTill,The predicates are not equivalent and neither is stronger.
2570,2570,"_token.transfer(_p7,five_percent)","_token.transfer(_p7,three_percent)",The predicates are not equivalent and neither is stronger.
2571,2571,_tokenIdTracker.current()<=GG_MAX,receivers.length<=10,The predicates are not equivalent and neither is stronger.
2572,2572,_validTokens.remove(_rewardToken),_validTokens.remove(_rewardToken),Exact Match
2573,2573,"allowTransfer(msg.sender,_amount)","allowTransfer(msg.sender,_amount)",Exact Match
2574,2574,approach[_from][msg.sender]>=_val,approach[_from][msg.sender]>=_val,Exact Match
2575,2575,"balanceOf(msg.sender,_tokenId)==1",syncActive,The predicates are not equivalent and neither is stronger.
2576,2576,block.timestamp-poolCreationDate<saleLength,block.timestamp<=poolCreationDate+saleLength*1days,The first predicate is stronger.
2577,2577,block.timestamp>=nextEpochPoint(),block.timestamp>=nextEpochPoint(),Exact Match
2578,2578,block.timestamp>lastPublicCollect+69minutes,block.timestamp>lastPublicCollect+collectInterval,The predicates are not equivalent and neither is stronger.
2579,2579,"check(name,signature)==msg.sender","check(name,signature)==msg.sender",Exact Match
2580,2580,expirationTimestamp-24hours>block.timestamp,!claimInProgress,The predicates are not equivalent and neither is stronger.
2581,2581,getCashPrior()>=vars.redeemAmount,vars.accountTokensNew<=accountTokens[_redeemer],The predicates are not equivalent and neither is stronger.
2582,2582,"hasRole(OPERATOR_ROLE,msg.sender)","hasRole(OPERATOR_ROLE,_msgSender())",The predicates are equivalent.
2583,2583,identity.isDAOContract(_contract),identity.isDAOContract(_contract),Exact Match
2584,2584,isEligibleForFreeMint(msg.sender),!_isFreeMinted[msg.sender],The predicates are not equivalent and neither is stronger.
2585,2585,isTransferLock(msg.sender)==false,!isTransferLock(msg.sender),The predicates are equivalent.
2586,2586,msg.sender==address(coinContract),msg.sender==address(coinContract),Exact Match
2587,2587,msg.value>=calculatePrice(_count),msg.value>=calculatePrice(_count),Exact Match
2588,2588,orderData.receiver==address(this),orderData.partiallyFillable==false,The predicates are not equivalent and neither is stronger.
2589,2589,presaleAmountMintedPerAccount+_mintAmount<=maxMintAmountPerPresaleAccount,presaleAmountMintedPerAccount+_mintAmount<=maxMintAmountPerPresaleAccount,Exact Match
2590,2590,registeredTokensSet.exists(token),registeredTokens[token].period>0,The predicates are not equivalent and neither is stronger.
2591,2591,"token.transfer(_devWallet,amount)","token.transfer(_devWallet,amount)",Exact Match
2592,2592,tokensMinted.current()==maxSupply,tokensMinted.current()==maxSupply,Exact Match
2593,2593,tokensSold.add(_value)<=saleLimit,tokensSold<saleLimit,The predicates are not equivalent and neither is stronger.
2594,2594,totalMinted.add(count)<=maxToMint,totalMinted.add(count)<=maxToMint,Exact Match
2595,2595,uint32(block.timestamp)>=maturity,block.timestamp>=maturity,The predicates are not equivalent and neither is stronger.
2596,2596,allowed[from][msg.sender]>=value,value<=allowed[from][msg.sender],The predicates are equivalent.
2597,2597,block.timestamp>beginAuctionTime+timeToBid,block.timestamp>beginAuctionTime+timeToBid,Exact Match
2598,2598,isAlMint||isPublicMint,isOGMint,The predicates are not equivalent and neither is stronger.
2599,2599,isBeneficiary||isOwner,isBeneficiary||isOwner,Exact Match
2600,2600,supply+_airdropAddresses.length<=maxSupply,supply+_airdropAddresses.length<=maxSupply,Exact Match
2601,2601,ERC3525.ownerOf(tokenId_)==from_,from_!=address(0),The predicates are not equivalent and neither is stronger.
2602,2602,ERC721Min.ownerOf(tokenId)==from,ERC721Min.ownerOf(tokenId)==from,Exact Match
2603,2603,_header.extractTarget()==_target,_header.validateHeaderTarget(_target),The predicates are not equivalent and neither is stronger.
2604,2604,"_token.transfer(_p5,ten_percent)","_token.transfer(_p5,ten_percent)",Exact Match
2605,2605,_totalSupply.current()<maxSupply,_totalSupply.current()+1<=maxSupply,The second predicate is stronger.
2606,2606,address(this).balance>=ethReward,ethReward>0,The predicates are not equivalent and neither is stronger.
2607,2607,brains.balanceOf(holder)>=amount,brains.balanceOf(holder)>=amount,Exact Match
2608,2608,bytes(message).length<=maxLength,bytes(message).length<=maxLength,Exact Match
2609,2609,dContract.isDaysAvailable(_days),amountOfXIV>0,The predicates are not equivalent and neither is stronger.
2610,2610,getClaimableReward(msg.sender)>0,stakings[msg.sender].amount>0,The predicates are not equivalent and neither is stronger.
2611,2611,isBlacklisted(msg.sender)==false,!blacklist[msg.sender],The predicates are not equivalent and neither is stronger.
2612,2612,msg.sender==address(_controller),_controller.isFarmController(),The predicates are not equivalent and neither is stronger.
2613,2613,token.balanceOf(_Staker)>=_stake,_stake>0,The predicates are not equivalent and neither is stronger.
2614,2614,tokenV2.balanceOf(tokenV2Pair)>0,openForDeposit==false,The predicates are not equivalent and neither is stronger.
2615,2615,tokensMinted.current()<maxSupply,tokensMinted.current()<maxSupply,Exact Match
2616,2616,whitelist.isWhitelisted(spender),spender!=address(0),The predicates are not equivalent and neither is stronger.
2617,2617,address(this).balance>=sumEther,_buybackBalance>=sumEther,The predicates are not equivalent and neither is stronger.
2618,2618,block.timestamp<=START_TIMESTAMP+DURATION,block.timestamp<START_TIMESTAMP+DURATION,The second predicate is stronger.
2619,2619,block.timestamp>betStartTimestamp+365days,winner==Side.NONE,The predicates are not equivalent and neither is stronger.
2620,2620,bytes(name).length<=maxCharSize,checkAllowlist(merkleRoot),The predicates are not equivalent and neither is stronger.
2621,2621,"canMint(msg.sender,_mintAmount)",_mintAmount<=maxAllowedMint,The predicates are not equivalent and neither is stronger.
2622,2622,candidateContract.isCutieCore(),candidateContract.isCutieCore(),Exact Match
2623,2623,claimTimer.min(now)==claimTimer,claimTimer<now,The predicates are not equivalent and neither is stronger.
2624,2624,covid.balanceOf(newIdentity)==0,newIdentity!=patient,The predicates are not equivalent and neither is stronger.
2625,2625,"hasRole(ROLE_MINTER,msg.sender)","hasRole(ROLE_MINTER,msg.sender)",Exact Match
2626,2626,info.stakingRewards==address(0),info.stakingRewards==address(0),Exact Match
2627,2627,isAddressClaimed(msg.sender)==0,isAddressClaimed(msg.sender)==0,Exact Match
2628,2628,"isStaking(msg.sender,validator)","isStaking(msg.sender,validator)",Exact Match
2629,2629,"isWhitelisted(msg.sender,proof)","isWhitelisted(msg.sender,proof)",Exact Match
2630,2630,lastDataTimestamp+padding<block.timestamp,_blockId>lastBlockId,The predicates are not equivalent and neither is stronger.
2631,2631,messagingContract_.isContract(),messagingContract_.isContract(),Exact Match
2632,2632,msg.sender==address(compounder),_account!=address(0),The predicates are not equivalent and neither is stronger.
2633,2633,msg.sender==address(controller),msg.sender==address(controller),Exact Match
2634,2634,"msg.sender==getAddress(""admin"")",msg.sender==RegistryAddress,The predicates are not equivalent and neither is stronger.
2635,2635,msg.sender==ownerOf(_airdropId),ownerOf(_airdropId)==msg.sender,The predicates are not equivalent and neither is stronger.
2636,2636,msg.value>=PublicMintPrice*numberOfTokens,msg.value>=PublicMintPrice*numberOfTokens,Exact Match
2637,2637,ownerOf(eggTokenId)==msg.sender,ownerOf(eggTokenId)==msg.sender,Exact Match
2638,2638,s&&difference<=amount,s,The first predicate is stronger.
2639,2639,validators[_signer].status==dt.ValidatorStatus.Null,_signer!=address(0),The predicates are not equivalent and neither is stronger.
2640,2640,_tokensMinted+receivers.length<=WACK_MAX,_tokensMinted+receivers.length<=WACK_MAX,Exact Match
2641,2641,automatedMarketMakerPairs[_pair]!=_value,_pair!=pair,The predicates are not equivalent and neither is stronger.
2642,2642,block.timestamp>lastRemoval+TIME_TO_WAIT,block.timestamp>lastRemoval+TIME_TO_WAIT,Exact Match
2643,2643,msg.value==_salesAmount*kumapiSalesPrice,msg.value>=kumapiSalesPrice*_salesAmount,The first predicate is stronger.
2644,2644,msg.value==pricePerToken*_numberOfTokens,_numberOfTokens*pricePerToken==msg.value,The predicates are equivalent.
2645,2645,msg.value>=numberOfLevels*evolutionPrice,msg.value>=evolutionPrice*numberOfLevels,The predicates are equivalent.
2646,2646,ownerMintedCount+_MAX_WITCHERS_MINT_AMOUNT<=WITCHERS_PER_ADDRESS_LIMIT,ownerMintedCount+_MAX_WITCHERS_MINT_AMOUNT<=WITCHERS_PER_ADDRESS_LIMIT,Exact Match
2647,2647,tiers[token][msg.sender]==true,tiers[token][msg.sender],The predicates are equivalent.
2648,2648,whitelistPrice*numberOfTokens<=msg.value,tokenPrice*numberOfTokens<=msg.value,The predicates are not equivalent and neither is stronger.
2649,2649,Address.isContract(_to)==false,freezeSupply==false,The predicates are not equivalent and neither is stronger.
2650,2650,"IsLootOwner(LootID,msg.sender)","IsLootOwner(LootID,msg.sender)",Exact Match
2651,2651,_publicGOAT.current()<GOAT_MAX,_activeDateTime>0,The predicates are not equivalent and neither is stronger.
2652,2652,_tokenIdCounter.current()<=333,msg.value>=tokenPrice,The predicates are not equivalent and neither is stronger.
2653,2653,address(callProxy)==msg.sender,msg.sender==address(callProxy),The predicates are equivalent.
2654,2654,address(this).balance>=_amount,_amount<=address(this).balance,The predicates are equivalent.
2655,2655,balanceOf(msg.sender)>=amount_,amount_<=balanceOf(msg.sender),The predicates are equivalent.
2656,2656,bytes(_newClientName).length>0,bytes(_newClientName).length>0,Exact Match
2657,2657,"canPurchase(msg.sender,amount)","canPurchase(msg.sender,amount)",Exact Match
2658,2658,eglibeForPresale(msg.sender)>0,totalSupply()<_maxSupply,The predicates are not equivalent and neither is stronger.
2659,2659,"hasRole(ADMIN_ROLE,msg.sender)","hasRole(ADMIN_ROLE,msg.sender)",Exact Match
2660,2660,inWhiteListCount(msg.sender)>0,inWhiteList(msg.sender),The predicates are not equivalent and neither is stronger.
2661,2661,msg.sender==address(crowdsale),msg.sender==address(crowdsale),Exact Match
2662,2662,msg.sender==ownerOf(_tokenURI),ownerOf(_tokenURI)==msg.sender,The predicates are not equivalent and neither is stronger.
2663,2663,msg.value>=getMintPrice(count),msg.value>=getMintPrice(count),Exact Match
2664,2664,msg.value>=getPrice(evolution),rg!=RarityGroup.COMMON,The predicates are not equivalent and neither is stronger.
2665,2665,token.balanceOf(this)>=_tokens,token.balanceOf(address(this))>=_tokens,The predicates are not equivalent and neither is stronger.
2666,2666,Address.isContract(to)==false,to!=address(0),The predicates are not equivalent and neither is stronger.
2667,2667,ERC721.ownerOf(tokenId)==from,ERC721.ownerOf(tokenId)==from,Exact Match
2668,2668,PRESALE_PRICE*numberOfTokens<=msg.value,PRESALE_PRICE*numberOfTokens<=msg.value,Exact Match
2669,2669,Proxyable(msg.sender)==target,msg.sender==address(target),The predicates are not equivalent and neither is stronger.
2670,2670,_consumers.contains(consumer),_consumers.contains(consumer),Exact Match
2671,2671,_stakedToken.totalSupply()>=0,_stakedToken.totalSupply()>=0,Exact Match
2672,2672,"_token.transfer(_p14,percent)","_token.transfer(_p14,percent)",Exact Match
2673,2673,"_token.transfer(_p15,percent)","_token.transfer(_p15,percent)",Exact Match
2674,2674,_totalSupply.add(value)<=_cap,_totalSupply.add(value)<=_cap,Exact Match
2675,2675,allowedWithdrawal(msg.sender),allowedWithdrawal(msg.sender),Exact Match
2676,2676,block.timestamp>closingTime(),hasClosed(),The predicates are not equivalent and neither is stronger.
2677,2677,bytes32(0)==cohort.randomHash,bytes32(0)==cohort.randomHash,Exact Match
2678,2678,currentInitPart.add(rate)<=50,currentInitPart.add(rate)<=100,The first predicate is stronger.
2679,2679,discountTranches[tranche]!=pointsNeeded,pointsNeeded>0,The predicates are not equivalent and neither is stronger.
2680,2680,isAcceptedToken(params.token),params.targetChain!=params.emitterChainId,The predicates are not equivalent and neither is stronger.
2681,2681,msg.sender==address(_citizen),msg.sender==address(_citizen),Exact Match
2682,2682,msg.sender==address(dividend),msg.sender==address(dividend),Exact Match
2683,2683,msg.sender==ownerOf(_pixelId),ownerOf(_pixelId)==msg.sender,The predicates are not equivalent and neither is stronger.
2684,2684,msg.sender==ownerOf(optionId),ownerOf(optionId)==msg.sender,The predicates are not equivalent and neither is stronger.
2685,2685,msg.value==_amountOfTickets*ticketPrice,msg.value==_amountOfTickets*ticketPrice,Exact Match
2686,2686,msg.value==getLoanValue(true),msg.value>0,The predicates are not equivalent and neither is stronger.
2687,2687,"msg.value==price(amount,true)","msg.value>=price(amount,true)",The first predicate is stronger.
2688,2688,msg.value>=PRICE_PER_TOKEN*_tokenAmount,msg.value>=PRICE_PER_TOKEN*_tokenAmount,Exact Match
2689,2689,msg.value>=payForCount*EXTRA_MINT_PRICE,payForCount*EXTRA_MINT_PRICE+msg.value>=payForCount*EXTRA_MINT_PRICE,The second predicate is stronger.
2690,2690,rewardOracle.latestAnswer()>0,rewardOracle.latestAnswer()>0,Exact Match
2691,2691,store.getSymbolInUse(_symbol),store.getSymbol(_symbol).mintingCost==mintingCost,The predicates are not equivalent and neither is stronger.
2692,2692,token_bank.balance()>=_amount,token_bank.balance()>=_amount,Exact Match
2693,2693,totalLiquidity.sub(amount)>=0,amount>0,The predicates are not equivalent and neither is stronger.
2694,2694,_mintAmount*publicMintPrice>=msg.value,msg.value>=publicMintPrice*_mintAmount,The predicates are not equivalent and neither is stronger.
2695,2695,block.timestamp>=starttime+releaseTime,msg.sender==_team,The predicates are not equivalent and neither is stronger.
2696,2696,externalToInternalMapping[_tokenId]!=0,_tokenId<=latestExternalTokenId,The predicates are not equivalent and neither is stronger.
2697,2697,msg.value==MINT_PRICE_PUBLIC*_quantity,msg.value>=MINT_PRICE_PUBLIC*_quantity,The first predicate is stronger.
2698,2698,msg.value==PUBLIC_PRICE*numberOfTokens,msg.value>=PUBLIC_PRICE*numberOfTokens,The first predicate is stronger.
2699,2699,msg.value==_mintAmount*publicSalePrice,msg.value>=publicSalePrice*_mintAmount,The first predicate is stronger.
2700,2700,msg.value==monthlyPriceStandard*months,msg.value==monthlyPriceStandard*months,Exact Match
2701,2701,msg.value>=pricePublicSale*_mintAmount,msg.value>=pricePublicSale*_mintAmount,Exact Match
2702,2702,msg.value>=publicSalePrice*_mintAmount,msg.value>=publicSalePrice*_mintAmount,Exact Match
2703,2703,publicMintPrice*_mintAmount<=msg.value,msg.value==publicMintPrice*_mintAmount,The second predicate is stronger.
2704,2704,stakersPrice*numberOfTokens<=msg.value,stakersPrice*numberOfTokens<=msg.value,Exact Match
2705,2705,_fighter.totalSupply()<77000,"hasRole(DEFAULT_ADMIN_ROLE,msg.sender)",The predicates are not equivalent and neither is stronger.
2706,2706,"_transfer(msg.sender,tokens)","_transfer(msg.sender,tokens)",Exact Match
2707,2707,_whitelistLps.contains(pool),_whitelistLps.contains(pool),Exact Match
2708,2708,address(this).balance<1ether,canSetStartTime==1,The predicates are not equivalent and neither is stronger.
2709,2709,address(this).balance>=value,address(this).balance>=value,Exact Match
2710,2710,addressInPresale(msg.sender),presaleList[msg.sender],The predicates are not equivalent and neither is stronger.
2711,2711,arbUnionWrapper.wrap(amount),msg.value>=maxSubmissionCost,The predicates are not equivalent and neither is stronger.
2712,2712,bytes(__tokenNAME).length==0,keccak256(bytes(__tokenNAME))!=keccak256(bytes(_tokenNAME)),The predicates are not equivalent and neither is stronger.
2713,2713,bytes(_countryname).length>2,bytes(_countryname).length>2,Exact Match
2714,2714,collection.presaleIsActive(),receiver!=address(0),The predicates are not equivalent and neither is stronger.
2715,2715,"holdsRole(roleId,msg.sender)","holdsRole(roleId,msg.sender)",Exact Match
2716,2716,isExternalMinter(msg.sender),externalMinters[msg.sender],The predicates are not equivalent and neither is stronger.
2717,2717,msg.sender==address(LQTYETH),msg.sender==address(LQTYETH),Exact Match
2718,2718,msg.sender==address(checker),"checker.checkIfBot(msg.sender,0,address(this))==0",The predicates are not equivalent and neither is stronger.
2719,2719,msg.sender==address(factory),msg.sender==_factory,The predicates are not equivalent and neither is stronger.
2720,2720,msg.sender==address(newChef),orig.isMigrated(),The predicates are not equivalent and neither is stronger.
2721,2721,msg.value==getPrice(_amount),msg.value>=getPrice(_amount),The first predicate is stronger.
2722,2722,oracle.isSettleDay(ASSET_ID),hourOfDay()<NO_TAKE_HOUR,The predicates are not equivalent and neither is stronger.
2723,2723,ownerOf(stakeId)==msg.sender,_exists(stakeId),The predicates are not equivalent and neither is stronger.
2724,2724,Address.isContract(newImpl),newImpl!=address(0),The predicates are not equivalent and neither is stronger.
2725,2725,_isOwner||_isTeam,_isOwner||_isTeam,Exact Match
2726,2726,_tokenIds.contains(tokenId),msg.sender==INonfungiblePositionManager(nonfungiblePositionManager).ownerOf(tokenId),The predicates are not equivalent and neither is stronger.
2727,2727,address(this).balance>=_amm,msg.sender==GDAO,The predicates are not equivalent and neither is stronger.
2728,2728,address(this).balance>inEth,amount>0,The predicates are not equivalent and neither is stronger.
2729,2729,allowed[from][msg.sender]>0,allowed[from][msg.sender]>=tokens,The predicates are not equivalent and neither is stronger.
2730,2730,amount.div(MULTIPLIER)>=100,balanceOf[msg.sender]>=amount,The predicates are not equivalent and neither is stronger.
2731,2731,block.timestamp>=lastClipUpdate+7days,prizePool>0,The predicates are not equivalent and neither is stronger.
2732,2732,buyOrder.expiration/1000>=currentTime,buyOrder.expiration/1000>=currentTime,Exact Match
2733,2733,bytes(newString).length<500,msg.sender!=richest,The predicates are not equivalent and neither is stronger.
2734,2734,bytes(thirdLine).length<=50,bytes(thirdLine).length<=50,Exact Match
2735,2735,citizen.isCitizen(_inviter),_userName.validateUserName(),The predicates are not equivalent and neither is stronger.
2736,2736,"dai.approve(CDAI_ADDRESS,0)","cDAI.approve(CDAI_ADDRESS,amount)==0",The predicates are not equivalent and neither is stronger.
2737,2737,excludedFromMaxWallet[_user]!=_status,_user!=address(0),The predicates are not equivalent and neither is stronger.
2738,2738,excludedFromTradeLock[_user]!=_status,_user!=address(0),The predicates are not equivalent and neither is stronger.
2739,2739,graveyard.releaseStage()>=3,graveyard.releaseStage()>=3,Exact Match
2740,2740,"hx.transfer(_p4,tenPercent)","hx.transfer(_p4,tenPercent)",Exact Match
2741,2741,"hx.transfer(_p6,tenPercent)","hx.transfer(_p6,tenPercent)",Exact Match
2742,2742,"isInArray(msg.sender,owner)",isOwner(msg.sender),The predicates are not equivalent and neither is stronger.
2743,2743,keepers.add(_keeperAddress),keepers.add(_keeperAddress),Exact Match
2744,2744,msg.sender==address(_vault),msg.sender==address(_vault),Exact Match
2745,2745,msg.sender==ownerOf(tankID),ownerOf(tankID)==msg.sender,The predicates are not equivalent and neither is stronger.
2746,2746,msg.value+TOTAL_CONTRIBUTED<=HARD_CAP,TOTAL_CONTRIBUTED+msg.value<=HARD_CAP,The predicates are equivalent.
2747,2747,msg.value==publicSaleCost*_mintAmount,msg.value>=publicSaleCost*_mintAmount,The first predicate is stronger.
2748,2748,msg.value==tokenPrice*_numberOfTokens,msg.value==_numberOfTokens*tokenPrice,The predicates are equivalent.
2749,2749,msg.value>=_cardPrice*_numberOfTokens,msg.value>=_cardPrice*_numberOfTokens,Exact Match
2750,2750,msg.value>=_quantity*publicTokenPrice,msg.value>=_quantity*publicTokenPrice,Exact Match
2751,2751,msg.value>=getPrice(_count),msg.value>=getPrice(_count),Exact Match
2752,2752,numRichManHeroes*mintPrice<=msg.value,msg.value>=mintPrice*numRichManHeroes,The predicates are equivalent.
2753,2753,ownerOf(RingID)==msg.sender,"IsDivineRobeOwner(RingID,msg.sender)",The predicates are not equivalent and neither is stronger.
2754,2754,ownerOf(theNum)==msg.sender,ownerOf(theNum)==msg.sender,Exact Match
2755,2755,recipients+_owners.length<=MAX_SUPPLY,recipients<=10,The predicates are not equivalent and neither is stronger.
2756,2756,"simba.transfer(_to,_amount)","simba.transfer(_to,_amount)",Exact Match
2757,2757,success&&success2,success&&success2,Exact Match
2758,2758,t_value.add(charge)==_value,balanceOf[_from]>=t_value,The predicates are not equivalent and neither is stronger.
2759,2759,tokenId.current()<maxSupply,tokenId.current()<maxSupply,Exact Match
2760,2760,tx.origin==ownerOf(tokenId),_exists(tokenId),The predicates are not equivalent and neither is stronger.
2761,2761,validLockingAmountToPeriod[_funds]!=0,_funds>0,The predicates are not equivalent and neither is stronger.
2762,2762,_nanoLoanEngine.rcn()==rcn,_nanoLoanEngine!=address(0),The predicates are not equivalent and neither is stronger.
2763,2763,ableToWithdraw(msg.sender),ableToWithdraw(msg.sender),Exact Match
2764,2764,address(this).balance>=1e6,_value<=address(this).balance,The predicates are not equivalent and neither is stronger.
2765,2765,bytes(_signature).length>0,collectionFreezeStatus(_collectionID)==false,The predicates are not equivalent and neither is stronger.
