predicate,label,results,hardness
"address(_migrator)!=address(0),""setMigrator: no _migrator""","address(_migrator)!=address(0),""setMigrator: no _migrator""",,4.78
"address(_nft)!=address(0),""NFT: token is the zero address""","address(_nft)!=address(0),""NFT: token is the zero address""",,4.78
"address(gauf)!=address(0),""ICO: token is the Zero address""","address(gauf)!=address(0),""ICO: token is the Zero address""",,4.78
"address(mem)!=address(0),""Memory contract address not set""","address(mem)!=address(0),""Memory contract address not set""",,4.78
msg.value>=0.1ether&&msg.value<=2ether,msg.value>=0.1ether&&msg.value<=2ether,,4.78
msg.value>=0.1ether||msg.sender==owner,msg.value>=0.1ether||msg.sender==owner,,4.78
"msg.value>=pools[_pool].add(registrationFee),'Please send the correct amount!'","msg.value>=pools[_pool].add(registrationFee),'Please send the correct amount!'",,4.78
"verify(msg.sender,msg.sender,_transferData.amount,_transferData.encodeKey,_transferData.nonce,_transferData.signature),""invalid signature""","verify(msg.sender,msg.sender,_transferData.amount,_transferData.encodeKey,_transferData.nonce,_transferData.signature),""invalid signature""",,4.78
"AccessControl(accessControl).hasRole(REMOVE_LIQUIDITY_ROLE,msg.sender),""NOT_REMOVE_LIQUIDITY_ROLE""","AccessControl(accessControl).hasRole(REMOVE_LIQUIDITY_ROLE,msg.sender),""NOT_REMOVE_LIQUIDITY_ROLE""",,4.779999999999999
"AinsophContract.isApprovedForAll(openEdition.artist,address(this)),""Artist must approve transfers""","AinsophContract.isApprovedForAll(openEdition.artist,address(this)),""Artist must approve transfers""",,4.779999999999999
"ICreateCards(createCardContract).getCredits(createCardId)>=5000,""You must have 5k Create Credits.""","ICreateCards(createCardContract).getCredits(createCardId)>=5000,""You must have 5k Create Credits.""",,4.779999999999999
"IERC20(feeToken).transferFrom(msg.sender,feesStaking,stakingFee),'PinkslipNFT: Not enough balance'","IERC20(feeToken).transferFrom(msg.sender,feesStaking,stakingFee),'PinkslipNFT: Not enough balance'","IERC20(feeToken).transferFrom(msg.sender,feesStaking,stakingFee)",4.779999999999999
"IERC20(token).transferFrom(msg.sender,this,value),""Failed to transfer token from user for deposit""","IERC20(token).transferFrom(msg.sender,this,value),""Failed to transfer token from user for deposit""",,4.779999999999999
"IERC20(tokenAddress).transfer(msg.sender,fractionalTokenAmount),""Fractional token transfer failed""","IERC20(tokenAddress).transfer(msg.sender,fractionalTokenAmount),""Fractional token transfer failed""",,4.779999999999999
"IERC721Upgradeable(_link).balanceOf(msg.sender)>0,""Hyperlink: must own the linked edition to mint""","IERC721Upgradeable(_link).balanceOf(msg.sender)>0,""Hyperlink: must own the linked edition to mint""",,4.779999999999999
"_contract.isApprovedForAll(msg.sender,address(this))==true,""Contract must be whitelisted by owner""","_contract.isApprovedForAll(msg.sender,address(this))==true,""Contract must be whitelisted by owner""",,4.779999999999999
"_nanoLoanEngine.registerApprove(_nanoLoanEngine.getIdentifier(loanId),v,r,s),""Signature not valid""","_nanoLoanEngine.registerApprove(_nanoLoanEngine.getIdentifier(loanId),v,r,s),""Signature not valid""",,4.779999999999999
"amount%entry_map[owner()].amountRequired==0,""amount valid""","amount%entry_map[owner()].amountRequired==0,""amount valid""",,4.779999999999999
amounts[0].add(amounts[1])>markerEonAvailable[1],amounts[0].add(amounts[1])>markerEonAvailable[1],,4.779999999999999
"b.issuer()!=who,""can't self-liquidate""","b.issuer()!=who,""can't self-liquidate""",,4.779999999999999
"balanceOf(msg.sender).add(MAX_RESERVE_TOKEN)<=MAX_RESERVE_TOKEN,""Exceeded Max Reserve Token Limit""","balanceOf(msg.sender).add(MAX_RESERVE_TOKEN)<=MAX_RESERVE_TOKEN,""Exceeded Max Reserve Token Limit""",,4.779999999999999
"balanceOf(to)+amount<_maxWalletAmount,""Balance exceeds wallet size!""","balanceOf(to)+amount<_maxWalletAmount,""Balance exceeds wallet size!""",,4.779999999999999
"bondState.willUnlock>0&&now>bondState.willUnlock,'BOND_NOT_UNLOCKED'","bondState.willUnlock>0&&now>bondState.willUnlock,'BOND_NOT_UNLOCKED'",bondState.active,4.779999999999999
"msg.value>=(amount-freeAmount)*cost,""not enough""","msg.value>=(amount-freeAmount)*cost,""not enough""",,4.779999999999999
"msg.value>=(price*mintTotal),""Minting a Cheetah Costs 0.05ETH Each!""","msg.value>=(price*mintTotal),""Minting a Cheetah Costs 0.05ETH Each!""",,4.779999999999999
other.ownerOf(displayeeTokenID[i])==_msgSender(),other.ownerOf(displayeeTokenID[i])==_msgSender(),other.ownerOf(displayeeTokenID[i])==_msgSender(),4.779999999999999
"tokenId.add(_mintAmount)<maxTotalSupply.add(1),""Max supply reached.""","tokenId.add(_mintAmount)<maxTotalSupply.add(1),""Max supply reached.""",,4.779999999999999
"totalSupply()+maxMint<=COLLECTION_SIZE,""All tokens were minted out!""","totalSupply()+maxMint<=COLLECTION_SIZE,""All tokens were minted out!""",,4.779999999999999
"totalSupply()+tokens<=(MAX_SUPPLY),""Minting would exceed max supply""","totalSupply()+tokens<=(MAX_SUPPLY),""Minting would exceed max supply""",totalSupply()+tokens<=MAX_SUPPLY,4.779999999999999
"_amt+_numberMinted(msg.sender)<=maxWalletWl,""Amount of tokens exceeds maximum number of tokens per wallet.""","_amt+_numberMinted(msg.sender)<=maxWalletWl,""Amount of tokens exceeds maximum number of tokens per wallet.""",,4.7700000000000005
"address(LOBEContract)!=address(0),""No token contract set""","address(LOBEContract)!=address(0),""No token contract set""",,4.7700000000000005
"address(_controller)!=address(0),'controller is required'","address(_controller)!=address(0),'controller is required'",,4.7700000000000005
"address(_dropMetadataRenderer)!=address(0),CANNOT_BE_ZERO","address(_dropMetadataRenderer)!=address(0),CANNOT_BE_ZERO",,4.7700000000000005
"address(aggregator)!=address(1),""AA96 invalid aggregator""","address(aggregator)!=address(1),""AA96 invalid aggregator""",,4.7700000000000005
"address(dataContract)!=address(0),""Data Contract not set""","address(dataContract)!=address(0),""Data Contract not set""",,4.7700000000000005
"address(ohmToken)!=address(0),""OHM token address not set""","address(ohmToken)!=address(0),""OHM token address not set""",,4.7700000000000005
"address(relayHub)!=address(0),""relay hub address not set""","address(relayHub)!=address(0),""relay hub address not set""",,4.7700000000000005
"address(seedSale)!=address(0),""seed sale address not set""","address(seedSale)!=address(0),""seed sale address not set""",,4.7700000000000005
msg.sender==owner||operatorToApprovals[owner][msg.sender],msg.sender==owner||operatorToApprovals[owner][msg.sender],,4.7700000000000005
"numberMinted(msg.sender)+quantity<=MAX_TOKENS_PER_ADDRESS_WHITELIST,""Token limit reached for this address.""","numberMinted(msg.sender)+quantity<=MAX_TOKENS_PER_ADDRESS_WHITELIST,""Token limit reached for this address.""",,4.7700000000000005
"phaseStructMap[phaseId].totalSupply+_mintAmount<=phaseStructMap[phaseId].maxSupply,""max NFT limit exceeded""","phaseStructMap[phaseId].totalSupply+_mintAmount<=phaseStructMap[phaseId].maxSupply,""max NFT limit exceeded""",,4.7700000000000005
"(_quantityToMint+totalSupply())<=maxSupply,""Exceeds maximum supply""","(_quantityToMint+totalSupply())<=maxSupply,""Exceeds maximum supply""",,4.77
"(totalSupply()+_quantity)<=mintSupply,""Max supply has been reached""","(totalSupply()+_quantity)<=mintSupply,""Max supply has been reached""",,4.77
"IERC1155(sourceContract).balanceOf(msg.sender,sourceTokenId)>0,""You do not own this source token""","IERC1155(sourceContract).balanceOf(msg.sender,sourceTokenId)>0,""You do not own this source token""","IERC1155(sourceContract).balanceOf(msg.sender,sourceTokenId)>0",4.77
"IERC20(tokenAddress).transferFrom(msg.sender,BURN_ADDRESS,amount),""Cannot transfer token to burn""","IERC20(tokenAddress).transferFrom(msg.sender,BURN_ADDRESS,amount),""Cannot transfer token to burn""",,4.77
"MerkleVerifier.verifyProofOfMembership(transferMembershipTrail,txChain,txSetRootChecksumDummy[2],txSetRootChecksumDummy[0]),""M""","MerkleVerifier.verifyProofOfMembership(transferMembershipTrail,txChain,txSetRootChecksumDummy[2],txSetRootChecksumDummy[0]),""M""",,4.77
"_msgSender()!=ref,""msg.sender == ref""","_msgSender()!=ref,""msg.sender == ref""",,4.77
"_msgSender()==hashesToken.ownerOf(_hashesTokenId),""CollectionNFTCloneableV1: must be owner of supplied hashes token ID to mint""","_msgSender()==hashesToken.ownerOf(_hashesTokenId),""CollectionNFTCloneableV1: must be owner of supplied hashes token ID to mint""",hashesToken.ownerOf(_hashesTokenId)==_msgSender(),4.77
"account.lockedAmount==0&&account.requiredAmount==0,""Already locked""","account.lockedAmount==0&&account.requiredAmount==0,""Already locked""",,4.77
"address(curveLpTokenAddr)!=ZERO_ADDRESS,""non-zero address required""","address(curveLpTokenAddr)!=ZERO_ADDRESS,""non-zero address required""",,4.77
"alreadyProgUnstaked[msg.sender]==0&&!ended,""Use withdraw2 function""","alreadyProgUnstaked[msg.sender]==0&&!ended,""Use withdraw2 function""",,4.77
"bids[id].auctionDeadline<now,""StakedTokenAuctionHouse/not-finished""","bids[id].auctionDeadline<now,""StakedTokenAuctionHouse/not-finished""",,4.77
"block.timestamp-lastClaimed[msg.sender]>=3600,""AirdropTestToken: You can only get an Airdrop once an hour. Donate to get more.""","block.timestamp-lastClaimed[msg.sender]>=3600,""AirdropTestToken: You can only get an Airdrop once an hour. Donate to get more.""",,4.77
"block.timestamp>(ShibaDetails[tokenId].minted_at+lockTime),""SHFNFT: Still in lock time""","block.timestamp>(ShibaDetails[tokenId].minted_at+lockTime),""SHFNFT: Still in lock time""",,4.77
"erc20.transferFrom(msg.sender,address(this),fees),""acceptRewardBalanceMigration: transfer failed""","erc20.transferFrom(msg.sender,address(this),fees),""acceptRewardBalanceMigration: transfer failed""",,4.77
"getNow()>=timeOfTwapInit+rebaseDelay,'activateRebasing: !end_delay'","getNow()>=timeOfTwapInit+rebaseDelay,'activateRebasing: !end_delay'",getNow()>=timeOfTwapInit+rebaseDelay,4.77
"msg.sender==address(controller.inflationManager()),""only InflationManager can call this function""","msg.sender==address(controller.inflationManager()),""only InflationManager can call this function""",,4.77
"msg.sender==fundsReceiver||msg.sender==fundsReceiver2,""Not allowed""","msg.sender==fundsReceiver||msg.sender==fundsReceiver2,""Not allowed""",,4.77
"msg.sender==minter||msg.sender==owner,'No Permission to mint token'","msg.sender==minter||msg.sender==owner,'No Permission to mint token'",,4.77
"msg.value>=(price*quantity)-price,""INVALID_ETH""","msg.value>=(price*quantity)-price,""INVALID_ETH""",,4.77
"msg.value>=price()*_mintCount[0],'Ether value is too low'","msg.value>=price()*_mintCount[0],'Ether value is too low'",,4.77
"msg.value>=thirdPartyFee*_tokenIds.length,""Insufficient funds to open 3rd-party stake.""","msg.value>=thirdPartyFee*_tokenIds.length,""Insufficient funds to open 3rd-party stake.""",msg.value>=thirdPartyFee,4.77
"ownerOf(tokenIds[i])==_msgSender(),""Not owner.""","ownerOf(tokenIds[i])==_msgSender(),""Not owner.""",,4.77
"params.upperBound==0&&params.lowerBound==0,""Parameters already set""","params.upperBound==0&&params.lowerBound==0,""Parameters already set""",,4.77
"totalSupply()+_mintAmount<=maxSupplyPhaseOne,""Max supply exceeded!""","totalSupply()+_mintAmount<=maxSupplyPhaseOne,""Max supply exceeded!""",,4.77
"totalSupply()+_mintAmount<=maxSupplyPhaseTwo,""Max supply exceeded!""","totalSupply()+_mintAmount<=maxSupplyPhaseTwo,""Max supply exceeded!""",totalSupply()+_mintAmount<=maxSupplyPhaseTwo,4.77
"totalSupply()+mintAmount<=sapLimit,""You reach limit of this round!""","totalSupply()+mintAmount<=sapLimit,""You reach limit of this round!""",,4.77
"vault.vaultParameters().isOracleTypeEnabled(ORACLE_TYPE,asset),""Unit Protocol: WRONG_ORACLE_TYPE""","vault.vaultParameters().isOracleTypeEnabled(ORACLE_TYPE,asset),""Unit Protocol: WRONG_ORACLE_TYPE""",,4.77
msg.value>=to.length&&to.length<=254,msg.value>=to.length&&to.length<=254,msg.value>0,4.760000000000001
"(sellTotalFees+sellBurnFee)<=25,""Total sell fees cannot be greater than 25%""","(sellTotalFees+sellBurnFee)<=25,""Total sell fees cannot be greater than 25%""",,4.76
"MonaConsoleContract.balanceOf(msg.sender,1)>=amount,""MonaFortuneTeller - You not have enough Mona Console""","MonaConsoleContract.balanceOf(msg.sender,1)>=amount,""MonaFortuneTeller - You not have enough Mona Console""",,4.76
"RTI.transferFrom(msg.sender,address(this),_numRTC),""transfer from failed, likely needs approval""","RTI.transferFrom(msg.sender,address(this),_numRTC),""transfer from failed, likely needs approval""",,4.76
"SaverExchangeRegistry(SAVER_EXCHANGE_REGISTRY).isWrapper(_exData.wrapper),""Wrapper is not valid""","SaverExchangeRegistry(SAVER_EXCHANGE_REGISTRY).isWrapper(_exData.wrapper),""Wrapper is not valid""",,4.76
"WETH.approve(lendingPool,type(uint256).max),Errors.APPROVAL_FAILED","WETH.approve(lendingPool,type(uint256).max),Errors.APPROVAL_FAILED",,4.76
"_participants.length>0&&_participants.length<=maxParticipants,""E1""","_participants.length>0&&_participants.length<=maxParticipants,""E1""",,4.76
"address(_creatureNFT)!=address(0),""creaturesNFT not set""","address(_creatureNFT)!=address(0),""creaturesNFT not set""",,4.76
"address(aggregator)!=address(0x00),'No aggregator found'","address(aggregator)!=address(0x00),'No aggregator found'",,4.76
"address(executor)!=address(0),ERROR_EXECUTOR_UNAVAILABLE","address(executor)!=address(0),ERROR_EXECUTOR_UNAVAILABLE",,4.76
"address(lendingLogic)!=address(0),""NO_LENDING_LOGIC_SET""","address(lendingLogic)!=address(0),""NO_LENDING_LOGIC_SET""",,4.76
"address(strategy)!=address(0),""Strategy must be defined""","address(strategy)!=address(0),""Strategy must be defined""",,4.76
"address(uniswap)!=address(0),""The exchange should exist""","address(uniswap)!=address(0),""The exchange should exist""",,4.76
"birdie.balanceOf(msg.sender)+amountInEther<PRESALE_PURCHASE_LIMIT,""Attempting to purchase too many tokens""","birdie.balanceOf(msg.sender)+amountInEther<PRESALE_PURCHASE_LIMIT,""Attempting to purchase too many tokens""",,4.76
"block.timestamp-disputesById[lastID].disputeUintVars[_TALLY_DATE]<=1days,""Time for voting haven't elapsed""","block.timestamp-disputesById[lastID].disputeUintVars[_TALLY_DATE]<=1days,""Time for voting haven't elapsed""",,4.76
"canRagequit(member.highestIndexYesVote),""Moloch::ragequit - cant ragequit until highest index proposal member voted YES on is processed""","canRagequit(member.highestIndexYesVote),""Moloch::ragequit - cant ragequit until highest index proposal member voted YES on is processed""",,4.76
"claimedNFTs[msg.sender]+amount<=balance*3,""Wallet already claimed""","claimedNFTs[msg.sender]+amount<=balance*3,""Wallet already claimed""",,4.76
"claimed[_msgSender()][stage]<=limitPerStage[stage],""Exceeds limit per stage""","claimed[_msgSender()][stage]<=limitPerStage[stage],""Exceeds limit per stage""",claimed[_msgSender()][stage]<=limitPerStage[stage],4.76
"contractAddress.allowance(msg.sender,address(this))>=_stake,""Must approve tokens before staking""","contractAddress.allowance(msg.sender,address(this))>=_stake,""Must approve tokens before staking""",,4.76
"flipToken.allowance(msg.sender,address(this))>=_flipAmount,""CoinFlipUsa: insufficient allowance""","flipToken.allowance(msg.sender,address(this))>=_flipAmount,""CoinFlipUsa: insufficient allowance""",,4.76
"getBlockTimestamp()<=eta.add(GRACE_PERIOD),""Timelock::executeTransaction: Transaction is stale.""","getBlockTimestamp()<=eta.add(GRACE_PERIOD),""Timelock::executeTransaction: Transaction is stale.""",,4.76
"msg.sender==IFlashNFT(flashtronautNFTAddress).ownerOf(_flashtronautNftId),""MISSING FLASHTRONAUT""","msg.sender==IFlashNFT(flashtronautNFTAddress).ownerOf(_flashtronautNftId),""MISSING FLASHTRONAUT""",,4.76
msg.sender==owner||_operatorApprovals[owner][msg.sender],msg.sender==owner||_operatorApprovals[owner][msg.sender],,4.76
"msg.value>=(amount-1)*mintPrice,""insufficient""","msg.value>=(amount-1)*mintPrice,""insufficient""",,4.76
"msg.value>=minEntryFee&&msg.value<=maxEntryFee,""Invalid entry fee""","msg.value>=minEntryFee&&msg.value<=maxEntryFee,""Invalid entry fee""",,4.76
"now.sub(depositTime[msg.sender])>cliffTime,""Please wait before withdrawing!""","now.sub(depositTime[msg.sender])>cliffTime,""Please wait before withdrawing!""",,4.76
"numberMinted(msg.sender).add(numberOfTokens)<=maxPurchase,""Exceeds Max mints allowed per wallet""","numberMinted(msg.sender).add(numberOfTokens)<=maxPurchase,""Exceeds Max mints allowed per wallet""",,4.76
"order.quote_quantities==keccak256(abi.encode(quote_quantities)),""quote quantities hash mismatch""","order.quote_quantities==keccak256(abi.encode(quote_quantities)),""quote quantities hash mismatch""",,4.76
"phaseStructMap[phaseId].totalSupply+mintAmount<=phaseStructMap[phaseId].maxSupply,""max NFT limit exceeded""","phaseStructMap[phaseId].totalSupply+mintAmount<=phaseStructMap[phaseId].maxSupply,""max NFT limit exceeded""",,4.76
"repo.files[body].head.state==uint8(StateOfFile.Circulated),""FR.PF: Doc not circulated""","repo.files[body].head.state==uint8(StateOfFile.Circulated),""FR.PF: Doc not circulated""",,4.76
"saleIsActiveS1||saleIsActiveS2||saleIsActiveS3,""Sale must be active to mint""","saleIsActiveS1||saleIsActiveS2||saleIsActiveS3,""Sale must be active to mint""",,4.76
"totalSupply()+MaxItemsForPreMint<=maxSupply,""Max supply exceeded!""","totalSupply()+MaxItemsForPreMint<=maxSupply,""Max supply exceeded!""",totalSupply()+MaxItemsForPreMint<=maxSupply,4.76
"totalSupply()+_mintAmount<=currentMaxSupply,'Max supply exceeded!'","totalSupply()+_mintAmount<=currentMaxSupply,'Max supply exceeded!'",,4.76
"totalSupply()+_mintAmount<=maxSupplyForDevs,""Max supply exceeded!""","totalSupply()+_mintAmount<=maxSupplyForDevs,""Max supply exceeded!""",totalSupply()+_mintAmount<=maxSupplyForDevs,4.76
"uniswapPair.transferFrom(msg.sender,address(uniswapPair),tokensToMigrate),'TRANSFER_FROM_FAILED'","uniswapPair.transferFrom(msg.sender,address(uniswapPair),tokensToMigrate),'TRANSFER_FROM_FAILED'",,4.76
"(balanceOf(to)+1)<=maxCapPerWallet,""Max limit holding per wallet""","(balanceOf(to)+1)<=maxCapPerWallet,""Max limit holding per wallet""",msg.value==0,4.75
"(sellTax+buyTax)<=25,""Taxes exceeds the 25%.""","(sellTax+buyTax)<=25,""Taxes exceeds the 25%.""",,4.75
"(totalSupply()+_mintAmount)<=maxSupply,""DC: Cannot exceed supply""","(totalSupply()+_mintAmount)<=maxSupply,""DC: Cannot exceed supply""",,4.75
"IERC1155(_erc1155BurnAddress).balanceOf(msg.sender,burnTokenId)>=amount,""Insufficient quantity""","IERC1155(_erc1155BurnAddress).balanceOf(msg.sender,burnTokenId)>=amount,""Insufficient quantity""",,4.75
"IERC20(_token).balanceOf(_buyer)>=_price,""The Bidder's balance must be greater than Bid Price.""","IERC20(_token).balanceOf(_buyer)>=_price,""The Bidder's balance must be greater than Bid Price.""",,4.75
"IERC721(_collection).ownerOf(tokenId)==msg.sender,""Not Your NFT.""","IERC721(_collection).ownerOf(tokenId)==msg.sender,""Not Your NFT.""",,4.75
"TotalMinted[_msgSender()]+nr<=presaleMintLimit,""Mint exceeds max allowed per address""","TotalMinted[_msgSender()]+nr<=presaleMintLimit,""Mint exceeds max allowed per address""",,4.75
"_amt+_numberMinted(msg.sender)<=maxWallet,""Amount of tokens exceeds maximum number of tokens per wallet.""","_amt+_numberMinted(msg.sender)<=maxWallet,""Amount of tokens exceeds maximum number of tokens per wallet.""",,4.75
"_batchHeader.batchIndex<batches().length(),""Invalid batch index.""","_batchHeader.batchIndex<batches().length(),""Invalid batch index.""",,4.75
_newFee>=0)&&(_newFee<=20,(_newFee>=0)&&(_newFee<=20),,4.75
"_publicCounter[_msgSender()]+_mintAmount<=maxMintAmountPerW,""exceeds max per address""","_publicCounter[_msgSender()]+_mintAmount<=maxMintAmountPerW,""exceeds max per address""",,4.75
"actionInQueue[account]==bytes32(0x0),""RadarStakingProxy: In queue already! Wait till the callback comes.""","actionInQueue[account]==bytes32(0x0),""RadarStakingProxy: In queue already! Wait till the callback comes.""",,4.75
"address(__token)!=address(0),""Crowdsale: token is zero""","address(__token)!=address(0),""Crowdsale: token is zero""",,4.75
"address(_fegexpair)!=address(0),""setting 0 to contract""","address(_fegexpair)!=address(0),""setting 0 to contract""",,4.75
"address(_fudFarmsNFT)!=address(0),""fudFarmsNFT not set""","address(_fudFarmsNFT)!=address(0),""fudFarmsNFT not set""",,4.75
"address(agg)!=address(0),""aggregator address not found""","address(agg)!=address(0),""aggregator address not found""",,4.75
"address(anchor)!=address(0),""ERR_INVALID_RESERVE_TOKEN""","address(anchor)!=address(0),""ERR_INVALID_RESERVE_TOKEN""",,4.75
"address(this).balance==preCallBalance.sub(_orderAmount),""BuyAdapter: postcall balance mismatch""","address(this).balance==preCallBalance.sub(_orderAmount),""BuyAdapter: postcall balance mismatch""",,4.75
"address(token)!=address(rewardsToken),""forbidden token""","address(token)!=address(rewardsToken),""forbidden token""",,4.75
"address(underlying)!=address(0),""underlying must exist""","address(underlying)!=address(0),""underlying must exist""",,4.75
"balanceOf(to)+amount<=_maxSPWallet,""Balance exceeds wallet size!""","balanceOf(to)+amount<=_maxSPWallet,""Balance exceeds wallet size!""",,4.75
"blocklistPermanentlyDisabled||!isExchangeBlocklisted[operatorExchangeId],""BLOCKLISTED_EXCHANGE""","blocklistPermanentlyDisabled||!isExchangeBlocklisted[operatorExchangeId],""BLOCKLISTED_EXCHANGE""",,4.75
"chosenAmount+balanceOf(msg.sender)<=maxPerUser,""You can not mint more than the maximum allowed per user.""","chosenAmount+balanceOf(msg.sender)<=maxPerUser,""You can not mint more than the maximum allowed per user.""",,4.75
"getBlockTimestamp()<=eta.add(gracePeriod),""Timelock::executeTransaction: Transaction is stale.""","getBlockTimestamp()<=eta.add(gracePeriod),""Timelock::executeTransaction: Transaction is stale.""",,4.75
"keccak256(abi.encode(msg.sender,_maximumAllowedMints,_tokenId))==_messageHash,""MESSAGE_INVALID""","keccak256(abi.encode(msg.sender,_maximumAllowedMints,_tokenId))==_messageHash,""MESSAGE_INVALID""",tokenPresalePrice[_tokenId]!=0,4.75
"keccak256(abi.encodePacked(_release_funds_key))==release_funds_hash,""Caller is not authorized.""","keccak256(abi.encodePacked(_release_funds_key))==release_funds_hash,""Caller is not authorized.""",,4.75
"msg.sender==_owner||msg.sender==_master,""Not allowed to interact""","msg.sender==_owner||msg.sender==_master,""Not allowed to interact""",,4.75
"msg.sender==owner()||isSaleActive,""Sale is not active.""","msg.sender==owner()||isSaleActive,""Sale is not active.""",,4.75
"msg.sender==owner||msg.sender==authorizedAddress,""Not authorized""","msg.sender==owner||msg.sender==authorizedAddress,""Not authorized""",,4.75
msg.value==(amount*presalePrice)-presalePrice,msg.value==(amount*presalePrice)-presalePrice,,4.75
"saleActive||firstSaleActive||secondSaleActive,""TRANSACTION: No sale active""","saleActive||firstSaleActive||secondSaleActive,""TRANSACTION: No sale active""",,4.75
"token.transferFrom(msg.sender,address(this),quantity),""failure to transfer quantity from token""","token.transferFrom(msg.sender,address(this),quantity),""failure to transfer quantity from token""",,4.75
"tokenIds.length<=40&&tokenIds.length>0,""Stake: amount prohibited""","tokenIds.length<=40&&tokenIds.length>0,""Stake: amount prohibited""",,4.75
"tokenIds.length>0&&tokenIds.length<=10,""wrong amount of tokenIds""","tokenIds.length>0&&tokenIds.length<=10,""wrong amount of tokenIds""",,4.75
"totalSupply()+quantity<muxZupply,""yu cannut gettt soiso munnnny!""","totalSupply()+quantity<muxZupply,""yu cannut gettt soiso munnnny!""",,4.75
"(sellTotalFees+sellBurnFee)<=6,""Total sell fees cannot be greater than 6%""","(sellTotalFees+sellBurnFee)<=6,""Total sell fees cannot be greater than 6%""",,4.74
"(tokenBalance*BP)/vUsdBalance>=balanceRatioMinBP,""Pool: low token balance""","(tokenBalance*BP)/vUsdBalance>=balanceRatioMinBP,""Pool: low token balance""",,4.74
"AccessControl(accessControl).hasRole(MISC_OPERATION_ROLE,msg.sender),""NOT_MISC_OPERATION_ROLE""","AccessControl(accessControl).hasRole(MISC_OPERATION_ROLE,msg.sender),""NOT_MISC_OPERATION_ROLE""",,4.74
"ISkellies(Skellies).balanceOf(msg.sender)>1,""Two Skellies are required to summon a SkellieCat""","ISkellies(Skellies).balanceOf(msg.sender)>1,""Two Skellies are required to summon a SkellieCat""",Skellies.balanceOf(msg.sender)>=2,4.74
"_isExcludedFromFees[sender]||_isExcludedFromFees[recipient],""Trading is not active.""","_isExcludedFromFees[sender]||_isExcludedFromFees[recipient],""Trading is not active.""",,4.74
"adapterFeesCollector.send(address(this).balance),""BuyAdapter: error sending fees to collector""","adapterFeesCollector.send(address(this).balance),""BuyAdapter: error sending fees to collector""",,4.74
"address(_BOLLY)!=address(0),""_BOLLY is a zero address""","address(_BOLLY)!=address(0),""_BOLLY is a zero address""",,4.74
"address(_knnToken)!=address(0),""Invalid token address""","address(_knnToken)!=address(0),""Invalid token address""",,4.74
"address(_owner)!=address(0),""_owner is a zero address""","address(_owner)!=address(0),""_owner is a zero address""",,4.74
"address(_world)!=address(0),""WORLD address is invalid""","address(_world)!=address(0),""WORLD address is invalid""",,4.74
"address(this).balance==balanceBefore.add(amount),""Guard: token is not wrapped by native token""","address(this).balance==balanceBefore.add(amount),""Guard: token is not wrapped by native token""",balanceBefore.add(amount)==address(this).balance,4.74
boonjiNft.ownerOf(_boonjai[i])==_msgSender(),boonjiNft.ownerOf(_boonjai[i])==_msgSender(),,4.74
"lastUnstakeTime[msg.sender]<block.timestamp.sub(unstakeDurationPeriod),""Cannot unstake yet, cooldown not expired.""","lastUnstakeTime[msg.sender]<block.timestamp.sub(unstakeDurationPeriod),""Cannot unstake yet, cooldown not expired.""",,4.74
"message.toEthSignedMessageHash().recover(_signature)==PRESALE_SIGNER,""whitelist is not signed""","message.toEthSignedMessageHash().recover(_signature)==PRESALE_SIGNER,""whitelist is not signed""",,4.74
"mintedCount[_minterPhase]+numberOfTokens<=minters[_minterPhase].supply,""ERROR: Maximum number of mints on this phase has been reached""","mintedCount[_minterPhase]+numberOfTokens<=minters[_minterPhase].supply,""ERROR: Maximum number of mints on this phase has been reached""",mintedFree[msg.sender]==0,4.74
"mintedTotal[msg.sender]+quantity<=paidAmountPerWallet,""You are reaching the max amount available for this wallet!""","mintedTotal[msg.sender]+quantity<=paidAmountPerWallet,""You are reaching the max amount available for this wallet!""",quantity<=20,4.74
"msg.sender==ILendingController(lendingController).owner(),""LPToken: caller is not an operator""","msg.sender==ILendingController(lendingController).owner(),""LPToken: caller is not an operator""",,4.74
msg.value>=(quantity-maxFreePerTx)*mintPrice,msg.value>=(quantity-maxFreePerTx)*mintPrice,,4.74
"publicCounter[_msgSender()]+_mintAmount<=maxMintAmountPerW,""exceeds max per address""","publicCounter[_msgSender()]+_mintAmount<=maxMintAmountPerW,""exceeds max per address""",,4.74
"repo.files[body].head.state==uint8(StateOfFile.Proposed),""FR.VCFF: Doc not proposed""","repo.files[body].head.state==uint8(StateOfFile.Proposed),""FR.VCFF: Doc not proposed""",,4.74
takoyaki.expires<now+(2*REGISTRATION_PERIOD),takoyaki.expires<now+(2*REGISTRATION_PERIOD),,4.74
"tokenToPayInFee.transferFrom(msg.sender,address(this),feeToPublishVault),'FEE_TRANSFER_FAILED'","tokenToPayInFee.transferFrom(msg.sender,address(this),feeToPublishVault),'FEE_TRANSFER_FAILED'",,4.74
"totalSupply(id)+numTokens<=maxSupply[id],""Afro: Can't mint more than the max supply""","totalSupply(id)+numTokens<=maxSupply[id],""Afro: Can't mint more than the max supply""",,4.74
block.timestamp>=investBegintime&&block.timestamp<=investEndtime,block.timestamp>=investBegintime&&block.timestamp<=investEndtime,,4.739999999999999
